path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				Продажа лекарств — по новым правилам	19.09.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/prodazha-lekarstv-po-novym-pravilam/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ профинансировал расширение производственных мощностей МК «Светловодский»	11.09.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-profinansiroval-rasshirenie-proizvodstvennyh-moschnostey-m/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Информационной атаке, помимо Ставрополя, подверглись и другие регионы России	11.09.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/informatsionnoy-atake-pomimo-stavropolya-podverglis-i-drugie-r/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Проезд по трассе Прохладный – Баксан – Эльбрус обеспечен	05.09.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/proezd-po-trasse-prohladnyy-baksan-elbrus-obespechen/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» и «Просвещение» создали совместное предприятие «РТК. Просвещение»	01.09.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-i-prosveschenie-sozdali-sovmestnoe-predpriyatie-rtk/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Дорога на Эльбрус закрыта из-за селя	01.09.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/doroga-na-elbrus-zakryta-iz-za-selya/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				По запросу полиции Ставрополья руководитель кооператива, похитивший 20 млн рублей у вкладчиков, экстрадирован в Россию	23.08.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/po-zaprosu-politsii-stavropolya-rukovoditel-kooperativa-pohiti/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В Чечне легкомоторный самолет врезался в автомобиль	08.08.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-chechne-legkomotornyy-samolet-vrezalsya-v-avtomobil/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ выступил генеральным спонсором форума МАКС-2017	18.07.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-vystupil-generalnym-sponsorom-foruma-maks-2017/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Премьера нового сезона «Игры престолов» состоялась в московском метро при поддержке «Ростелекома»	18.07.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/premera-novogo-sezona-igry-prestolov-sostoyalas-v-moskovskom-m/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
